side,name,page_link,bills,committees,district,party,title,image_url,saved_image
Senate,Rachelle Crowe,https://www.ilga.gov/senate/Senator.asp?GA=102&MemberID=2928,https://www.ilga.gov/senate/SenatorBills.asp?MemberID=2928,https://www.ilga.gov/senate/SenCommittees.asp?MemberID=2928,56,D,,https://www.ilga.gov/images/members/%7B05406617-A6A5-4533-852E-04678B860D88%7D.jpg,senate/rachelle-crowe.jpg
Senate,Bill Cunningham,https://www.ilga.gov/senate/Senator.asp?GA=102&MemberID=2850,https://www.ilga.gov/senate/SenatorBills.asp?MemberID=2850,https://www.ilga.gov/senate/SenCommittees.asp?MemberID=2850,18,D,,https://www.ilga.gov/images/members/%7B402F0454-4EAF-4721-993D-53C7459BA35B%7D.jpg,senate/bill-cunningham.jpg
Senate,John F. Curran,https://www.ilga.gov/senate/Senator.asp?GA=102&MemberID=2915,https://www.ilga.gov/senate/SenatorBills.asp?MemberID=2915,https://www.ilga.gov/senate/SenCommittees.asp?MemberID=2915,41,R,,https://www.ilga.gov/images/members/%7B7FC724D0-C297-4D20-AC25-3D879DE286B8%7D.jpg,senate/john-f-curran.jpg
Senate,Donald P. DeWitte,https://www.ilga.gov/senate/Senator.asp?GA=102&MemberID=2923,https://www.ilga.gov/senate/SenatorBills.asp?MemberID=2923,https://www.ilga.gov/senate/SenCommittees.asp?MemberID=2923,33,R,,https://www.ilga.gov/images/members/%7B21A3B029-3423-410E-818A-84512CD0D231%7D.jpg,senate/donald-p-dewitte.jpg
Senate,Laura Ellman,https://www.ilga.gov/senate/Senator.asp?GA=102&MemberID=2930,https://www.ilga.gov/senate/SenatorBills.asp?MemberID=2930,https://www.ilga.gov/senate/SenCommittees.asp?MemberID=2930,21,D,,https://www.ilga.gov/images/members/%7B423E6DDE-1AFB-4F10-A767-C869B0E51483%7D.jpg,senate/laura-ellman.jpg
Senate,Sara Feigenholtz,https://www.ilga.gov/senate/Senator.asp?GA=102&MemberID=2977,https://www.ilga.gov/senate/SenatorBills.asp?MemberID=2977,https://www.ilga.gov/senate/SenCommittees.asp?MemberID=2977,6,D,,https://www.ilga.gov/images/members/%7BE77394AE-D896-4FEB-A325-B33A553554EB%7D.jpg,senate/sara-feigenholtz.jpg
Senate,Laura Fine,https://www.ilga.gov/senate/Senator.asp?GA=102&MemberID=2929,https://www.ilga.gov/senate/SenatorBills.asp?MemberID=2929,https://www.ilga.gov/senate/SenCommittees.asp?MemberID=2929,9,D,,https://www.ilga.gov/images/members/%7BA4F70929-881C-4003-B10A-D1A775D3D94B%7D.jpg,senate/laura-fine.jpg
Senate,Dale Fowler,https://www.ilga.gov/senate/Senator.asp?GA=102&MemberID=2897,https://www.ilga.gov/senate/SenatorBills.asp?MemberID=2897,https://www.ilga.gov/senate/SenCommittees.asp?MemberID=2897,59,R,,https://www.ilga.gov/images/members/%7B1E60CA94-7006-4CAB-841D-C9D99569D9D3%7D.jpg,senate/dale-fowler.jpg
Senate,Ann Gillespie,https://www.ilga.gov/senate/Senator.asp?GA=102&MemberID=2931,https://www.ilga.gov/senate/SenatorBills.asp?MemberID=2931,https://www.ilga.gov/senate/SenCommittees.asp?MemberID=2931,27,D,,https://www.ilga.gov/images/members/%7BD11CC547-0960-44F1-80C9-99F8CE5D5479%7D.jpg,senate/ann-gillespie.jpg
Senate,Suzy Glowiak Hilton,https://www.ilga.gov/senate/Senator.asp?GA=102&MemberID=2932,https://www.ilga.gov/senate/SenatorBills.asp?MemberID=2932,https://www.ilga.gov/senate/SenCommittees.asp?MemberID=2932,24,D,,https://www.ilga.gov/images/members/%7B8DE2D7E5-9F3D-43FD-B0EC-0010BDA8849A%7D.jpg,senate/suzy-glowiak-hilton.jpg
Senate,Don Harmon,https://www.ilga.gov/senate/Senator.asp?GA=102&MemberID=2806,https://www.ilga.gov/senate/SenatorBills.asp?MemberID=2806,https://www.ilga.gov/senate/SenCommittees.asp?MemberID=2806,39,D,,https://www.ilga.gov/images/members/%7BCF3F6473-4E6D-4E84-A0A4-4FF7335132E2%7D.jpg,senate/don-harmon.jpg
Senate,"Napoleon Harris, III",https://www.ilga.gov/senate/Senator.asp?GA=102&MemberID=2851,https://www.ilga.gov/senate/SenatorBills.asp?MemberID=2851,https://www.ilga.gov/senate/SenCommittees.asp?MemberID=2851,15,D,,https://www.ilga.gov/images/members/%7B87402198-6E85-4CFE-BDD2-B9DC58948869%7D.jpg,senate/napoleon-harris-iii.jpg
Senate,Michael E. Hastings,https://www.ilga.gov/senate/Senator.asp?GA=102&MemberID=2852,https://www.ilga.gov/senate/SenatorBills.asp?MemberID=2852,https://www.ilga.gov/senate/SenCommittees.asp?MemberID=2852,19,D,,https://www.ilga.gov/images/members/%7BC6E534EB-7243-4687-8A65-04BD4DA5DF72%7D.jpg,senate/michael-e-hastings.jpg
Senate,Linda Holmes,https://www.ilga.gov/senate/Senator.asp?GA=102&MemberID=2813,https://www.ilga.gov/senate/SenatorBills.asp?MemberID=2813,https://www.ilga.gov/senate/SenCommittees.asp?MemberID=2813,42,D,,https://www.ilga.gov/images/members/%7B9A39C8B9-4B06-4BF7-85CE-4C6F4FD07769%7D.jpg,senate/linda-holmes.jpg
Senate,Mattie Hunter,https://www.ilga.gov/senate/Senator.asp?GA=102&MemberID=2808,https://www.ilga.gov/senate/SenatorBills.asp?MemberID=2808,https://www.ilga.gov/senate/SenCommittees.asp?MemberID=2808,3,D,,https://www.ilga.gov/images/members/%7BF4630DDB-11F0-417E-8C0A-B4ED6426116F%7D.jpg,senate/mattie-hunter.jpg
Senate,Adriane Johnson,https://www.ilga.gov/senate/Senator.asp?GA=102&MemberID=2980,https://www.ilga.gov/senate/SenatorBills.asp?MemberID=2980,https://www.ilga.gov/senate/SenCommittees.asp?MemberID=2980,30,D,,https://www.ilga.gov/images/members/%7B991EBDF6-BC13-4260-A2B8-E10751629780%7D.jpg,senate/adriane-johnson.jpg
Senate,"Emil Jones, III",https://www.ilga.gov/senate/Senator.asp?GA=102&MemberID=2823,https://www.ilga.gov/senate/SenatorBills.asp?MemberID=2823,https://www.ilga.gov/senate/SenCommittees.asp?MemberID=2823,14,D,,https://www.ilga.gov/images/members/%7B2C0EE719-E9D8-4625-990D-69FCE146BC0F%7D.jpg,senate/emil-jones-iii.jpg
Senate,Patrick J. Joyce,https://www.ilga.gov/senate/Senator.asp?GA=102&MemberID=2973,https://www.ilga.gov/senate/SenatorBills.asp?MemberID=2973,https://www.ilga.gov/senate/SenCommittees.asp?MemberID=2973,40,D,,https://www.ilga.gov/images/members/%7B39D6F100-DAEC-4C4B-A4F5-F20299B79152%7D.jpg,senate/patrick-j-joyce.jpg
Senate,David Koehler,https://www.ilga.gov/senate/Senator.asp?GA=102&MemberID=2814,https://www.ilga.gov/senate/SenatorBills.asp?MemberID=2814,https://www.ilga.gov/senate/SenCommittees.asp?MemberID=2814,46,D,,https://www.ilga.gov/images/members/%7B2C57E551-D82A-4C7D-8746-3F83913F0D7D%7D.jpg,senate/david-koehler.jpg
Senate,Steven M. Landek,https://www.ilga.gov/senate/Senator.asp?GA=102&MemberID=2839,https://www.ilga.gov/senate/SenatorBills.asp?MemberID=2839,https://www.ilga.gov/senate/SenCommittees.asp?MemberID=2839,12,D,,https://www.ilga.gov/images/members/%7BCB30B8CB-1FBB-4869-A78E-D08AF0616D74%7D.jpg,senate/steven-m-landek.jpg
